id,c1,c2,c3,c4,c5,c6
46,46,1.98,Mirzam,β CMa,0500,B1 II-III
47,47,2.00,Alphard,α Hya,0180,K3 II-III
48,48,1.98 (1.86–2.13var),Polaris,α UMi,0430,F7 Ib
49,49,2.00,Hamal,α Ari,0066,K1 IIIb
50,50,2.08 (2.37 + 3.64),Algieba,γ Leo,0130,"K0 III, G7 IIIb"
51,51,2.02,Diphda,β Cet,0096,K0 III
52,52,2.04,Mizar,ζ UMa,0083,"A2 Vp, A2 Vp, Am"
53,53,2.05,Nunki,σ Sgr,0230,B2.5 V
54,54,2.06,Menkent,θ Cen,0059,K0 III
55,55,2.05 (2.01–2.10var),Mirach,β And,0200,M0 III
56,56,2.06,Alpheratz,α And/δ Peg,0097,"B8 IVpMnHg, A3 V"
57,57,2.07,Rasalhague,α Oph,0047,A5 III
58,58,2.08,Kochab,β UMi,0130,K4 III
59,59,2.09,Saiph,κ Ori,0720,B0.5 Ia
60,60,2.11,Denebola,β Leo,0036,A3 Va
61,61,2.12 (2.1–3.39var),Algol,β Per,0093,"B8 V, K0 IV, A7m"
62,62,2.15 (2.0–2.3var),Tiaki,β Gru,0170,M5 III
63,63,2.17,Muhlifain,γ Cen,0130,"A0 III, A0 III"
64,64,2.21,Aspidiske,ι Car,0690,A9 Ib
65,65,2.21 (2.14–2.30var),Suhail,λ Vel,0570,K4 Ib
66,66,2.23 (2.21–2.32var),Alphecca,α CrB,0075,"A0 V, G5 V"
67,67,2.23 (2.23–2.35var),Mintaka,δ Ori,0900,"O9.5 II, B1 V, B0 IV"
68,68,2.23,Sadr,γ Cyg,"1,500",F8 Iab
69,69,2.23,Eltanin,γ Dra,0150,K5 III
70,70,2.24,Schedar,α Cas,0230,K0 IIIa
71,71,2.25,Naos,ζ Pup,"1,080",O4 If(n)p
72,72,2.26,Almach,γ And,0350,"K3 IIb, B9.5 V, B9.5 V, A0 V"
73,73,2.28 (2.25–2.31var),Caph,β Cas,0054,F2 III
74,74,2.29,Izar,ε Boo,0202,"K0 II-III, A2 V"
75,75,2.30 (2.29–2.34var),—,α Lup,0550,B1.5 III
76,76,2.30 (2.29–2.31var),—,ε Cen,0380,B1III
77,77,2.31 (1.6–2.32var),Dschubba,δ Sco,0400,"B0.3 IV, B1-3 V"
78,78,2.31,Larawag,ε Sco,0065,K1 III
79,79,2.35 (2.30–2.41var),—,η Cen,0310,B1.5 Vne
80,80,2.37,Merak,β UMa,0079,A1 IVps
81,81,2.38,Ankaa,α Phe,0077,K0.5 IIIb
82,82,2.39,—,κ Sco,0460,B1.5 III
83,83,2.40 (0.7–3.0var),Enif,ε Peg,0670,K2 Ib
84,84,2.42 (2.31–2.74var),Scheat,β Peg,0200,M2.5 II-IIIe
85,85,2.43,Sabik,η Oph,0088,"A1 IV, A1 IV"
86,86,2.44,Phecda,γ UMa,0084,A0 Ve
87,87,2.45,Aludra,η CMa,"2,000",B5 Ia
88,88,2.46,Markeb,κ Vel,0540,B2 IV
89,89,2.47 (1.6–3.0var),—,γ Cas,0610,B0.5 IVe
90,90,2.48,Markab,α Peg,0140,A0 IV
91,91,2.48,Aljanah,ε Cyg,0072,K0 III-IV
92,92,2.50,Acrab,β Sco,0404,"B0.5 IV-V, B1.5 V, B2 V"
